가래떡(떡국용),311
가래떡(떡볶이용),96
가자미,58
가자미구이,76
가자미조림,45.4
가지,6
가지나물,19
간장(왜간장),8
갈비구이,586
갈비찜,262.2
갈비탕,362.5
갈치,60
갈치구이,110.4
갈치조림,37
갈치찌개,48.2
감(곶감),119
감(단감),37
감자,43
감자국,55.1
감자볶음,36.2
감자샐러드,64
감자조림,39
감자칩,239
강낭콩,11
개고기,144
건빵,104
검정콩,42
겨자,13
경단,144
고구마,90
고구마맛탕,266
고구마줄기,2
고구마튀김,72.4
고기만두,348.1
고들빼기,14
고등어,92
고등어(자반고등어),95
고등어구이,110.4
고등어조림,107
고등어찌개,66
고등어튀김,167.3
고사리,8
고사리(말린것),68
고사리나물,25.5
고추냉이(와사비),6
고추멸치볶음,30.3
고추볶음,16
고추장,27
고추장아찌,6.3
고추장아찌,5
고추튀김,42
고춧가루,5
고춧잎,2
골뱅이(통조림),34
골뱅이무침,82
곰보빵(소보로빵),263
곰탕(가정식),119
곰탕(외식),198
곱창전골,127.5
과일탄산음료,123
광어매운탕,115
국밥,343.9
군만두,429
굴,13
굴무침,23.3
굴비,266
귤,38
귤쥬스,78
근대,7
근대된장국,36.1
금귤,66
기장,22
김,2
김구이,3
김무침,74
김밥,306
김치(갓김치),14
김치(고들빼기김치),26
김치(깍두기),12
김치(깻잎김치),19
김치(나박김치),9
김치(동치미),11
김치(무청김치),8
김치(배추김치),7
김치(백김치),7
김치(부추김치),21
김치(열무김치),13
김치(오이김치),16
김치(오이소박이),6
김치(총각김치),15
김치(파김치),16
김치국,21.3
김치볶음,19.1
김치볶음밥,480.8
김치전,133.3
김치찌개,88.1
김튀김,208.2
깨(검정깨),11
깨(흰깨),12
깨소금,12
깻잎,5
깻잎장아찌,6
꼬막,20
꼬막찜,34
꽁치,74
꽁치구이,98
꽁치조림,60
꽃게,33
꽃게장,32
꽃게탕,98
꿀,59
낙지,33
낙지볶음,90
냉이,9
냉이된장국,43
넙치(광어),52
녹두,151
녹두묵,11
녹두빈대떡,198.4
녹차,2
녹차음료,2
누룽지,109.7
느타리버섯,6
느타리버섯볶음,24
늙은호박,16
다랑어(냉동),34
다랑어(통조림),59
다시마,3
다시마(말린것),1
다시마튀각,68
단무지,2
단팥빵,249
달걀,55
달걀국,73
달걀말이,74.2
달걀부침(달걀후라이),73.3
달걀찜,50.3
달래,3
달래된장찌개,30
달래무침,32
닭개장,141.1
닭고기,171
닭고기(가슴),198
"닭고기(가슴,껍질제거)",97
닭고기(날개),210
닭고기(다리),120
"닭고기(다리,껍질제거)",114
닭도리탕,201
닭볶음(닭갈비),322.7
닭양념튀김,335.2
닭죽,526.3
닭찜,254.3
닭튀김,328.4
당근,3
당면,70
대구,72
대구매운탕,119
대두,57
대추(건과),12
더덕,11
더덕무침,31
도라지,29
도라지나물,62
도라지생채,41
도우넛(링),309
도우넛(팥),439
도토리묵,30
도토리묵무침,52
돈까스,287.5
돌나물,4
돔(옥돔),55
동부,9
동태국,60.5
동태조림,80
동태찌개,71.1
돼지갈비구이,375
돼지갈비찜,324.4
돼지고기,157
돼지고기(갈비),270
돼지고기(삼겹살),513
돼지고기가공품(등심햄),20
돼지고기가공품(런천미트),39
돼지고기가공품(베이컨),17
돼지고기가공품(비엔나소시지),105
돼지고기가공품(프랑크프르트소시지),97
돼지고기구이,427.3
돼지고기덮밥,660.3
돼지고기볶음,260
돼지고기장조림,91
돼지고기찌개,136.2
돼지불고기,256
된장,24
된장,13
된장(가루된장),33
된장국,60
된장찌개,60.2
두릅,13
두릅무침,54
두부,50
두부김치,156
두부부침,50.1
두부조림,89.4
두부찌개,88
두유음료,144
들기름,35
들깨,8
들미나리,5
딸기,26
딸기잼,49
땅콩,74
땅콩버터,30
떡국,399
떡만두국,470
떡볶이,170
라면,521
롤빵,142
롤케익,219
마가린,36
마늘,13
마늘장아찌,5.5
마늘쫑무침,14
마늘쫑볶음,31
마늘쫑장아찌,5.5
마요네즈,74
마파두부,59
막걸리,184
만두국,473
맛술(미림),7
맥주,131
머위,9
머위나물,29
멍게,21
메기,86
메기매운탕,103
메밀국수(건면),447
메추라기알,70
메추라기알장조림,88
"멸치(자건품, 중)",12
멸치볶음,47
명란알,28
명란젓,18
명태(동태),37
명태(북어),58
모듬회,185
모밀국수,472
모시조개젓,5
목이버섯(말린것),5
무,28
무국,61.4
무나물,53
무된장국,56
무말랭이,11
무말랭이무침,23.3
무말랭이장아찌,19
무생채,55
무장아찌(무초절임),13.2
무짠지,3
무청,11
문어,7
물냉면,583
물엿,59
미꾸라지,58
미나리나물,18.5
미나리무침,21a
미더덕,8
미숫가루,85
미역(말린것),6
미역(생것),3
미역국,20.4
미역줄기볶음,12
미역초무침,23.1
